id,status_group
16633,functional
24123,functional
58551,non functional
17132,non functional
3027,non functional
2651,non functional
25998,non functional
63400,non functional
50028,non functional
67897,functional needs repair
21425,functional
71756,non functional
16862,functional
15420,non functional
47784,functional
712,non functional
54368,non functional
2866,non functional
51130,functional needs repair
27993,non functional
21621,non functional
66038,functional
42182,functional
17694,functional
57759,non functional
47978,non functional
52359,functional
69656,functional
24086,functional
43579,non functional
43284,functional needs repair
2877,non functional
21171,functional
40982,functional
48396,functional
13323,non functional
28467,functional
2768,functional
73593,functional
65164,functional
69976,functional
52145,functional needs repair
49259,non functional
23542,non functional
69848,functional
9305,functional
14359,functional needs repair
28925,non functional
21243,functional
10616,non functional
73667,functional
20566,functional
63711,non functional
72840,functional
31651,functional
3782,functional
6799,non functional
21402,functional
35390,functional needs repair
12636,non functional
36887,non functional
20086,functional
5634,non functional
48029,functional
29927,functional
2930,non functional
41800,functional
68349,non functional
61678,non functional
30270,non functional
4678,non functional
9392,non functional
20735,functional
49300,functional needs repair
70339,functional
25572,non functional
61445,non functional
32190,functional
39189,non functional
14853,functional
52207,functional
48035,functional needs repair
73122,non functional
16352,functional
42721,functional
15116,functional
7837,functional needs repair
56907,functional
46382,functional
64521,functional
67362,non functional
61861,functional
72139,non functional
3398,non functional
62911,non functional
48152,non functional
48001,non functional
64118,functional
65793,non functional
61557,functional
32352,non functional
1830,functional
50553,non functional
51961,non functional
38481,functional
48371,functional
56540,functional
18142,functional
72934,functional
39300,non functional
40115,non functional
3793,functional
59318,non functional
68070,functional
67527,non functional
34898,non functional
26592,functional
67682,functional needs repair
52394,functional needs repair
32218,functional
69045,functional
12808,functional
49250,functional
64126,functional
64903,functional needs repair
35165,functional
9543,functional
64635,functional
47929,functional
28329,functional
67954,functional
16575,functional needs repair
16612,non functional
27003,functional
73324,functional
7043,non functional
22174,functional
19450,functional
35825,functional
9854,functional needs repair
23254,non functional
72170,functional
61999,non functional
70354,non functional
6877,non functional
47323,non functional
48624,non functional
6148,functional needs repair
59698,functional
67268,functional
59174,non functional
68916,functional
28358,functional
57453,functional
71952,non functional
1761,functional
15234,functional
60021,functional
22567,functional
17695,non functional
19872,non functional
22828,functional
34896,functional
35570,functional
41325,non functional
8831,non functional
5345,functional needs repair
19379,non functional
5514,functional
61654,non functional
40482,non functional
43123,functional
40492,non functional
68733,non functional
3952,functional
70288,non functional
30085,non functional
65837,functional
34752,functional
2465,functional
11466,non functional
22313,functional
30179,functional
23505,functional
48424,non functional
11150,non functional
70368,non functional
26935,functional
5919,functional
2134,functional
16652,functional
59302,functional
24210,non functional
6211,functional
19743,functional
10760,functional
48104,functional
50171,functional
63137,non functional
38301,functional
10948,non functional
33232,functional
61415,non functional
69131,functional
73555,functional
46610,functional needs repair
20922,functional
55743,non functional
19341,functional
9588,functional
3293,functional
55490,functional
67678,non functional
36119,non functional
62775,functional needs repair
68162,functional needs repair
66128,non functional
12036,functional
15739,functional
57048,non functional
15825,non functional
45590,functional
18055,functional
34073,functional
14860,functional
53713,non functional
69327,non functional
60169,functional
26798,functional
37122,non functional
45156,functional
22874,functional
58774,functional
40092,functional needs repair
17487,non functional
35886,functional
49892,functional
66338,functional
35481,functional
4135,non functional
54191,non functional
31349,functional
72271,functional
48863,functional
13758,non functional
33443,functional
12003,functional
10845,functional
47,functional
70492,functional
11346,non functional
20126,functional
51000,functional
64505,functional
58329,functional
6311,functional
22286,functional
35013,non functional
6274,non functional
30904,functional
46606,non functional
18461,non functional
15256,functional needs repair
625,functional
42122,functional
18277,non functional
68501,functional needs repair
8816,non functional
62879,functional
18554,functional
27712,non functional
46935,non functional
57804,functional
57711,functional
5516,functional
8305,non functional
57410,non functional
51412,non functional
25863,non functional
35994,non functional
55279,non functional
74102,functional
38277,functional
1998,non functional
52056,non functional
63679,functional
71762,non functional
71432,functional needs repair
45592,functional
13663,non functional
62227,functional needs repair
3730,functional
2451,functional
46418,non functional
45996,non functional
60911,non functional
46089,functional needs repair
65579,functional
40407,non functional
66663,non functional
26597,non functional
50540,functional
58133,functional needs repair
1493,functional
31503,non functional
17910,functional
19466,non functional
38120,non functional
66553,functional needs repair
31696,functional
51318,non functional
33584,non functional
48678,functional
36112,functional
6294,non functional
40612,non functional
62793,functional needs repair
58090,functional
2532,functional needs repair
38865,non functional
35462,non functional
51709,non functional
40624,non functional
41745,functional needs repair
42315,functional
38952,functional needs repair
45540,functional
73833,non functional
27771,functional
9336,functional
12545,non functional
54811,non functional
48326,functional needs repair
31787,functional needs repair
61745,non functional
42091,functional
43727,non functional
46917,functional
26718,functional
3138,functional
72932,functional needs repair
25707,non functional
68580,non functional
25064,non functional
7624,functional
3830,non functional
13458,functional
57377,functional
37294,functional
39561,functional
23237,functional
72484,non functional
56490,functional
13706,functional
43035,functional
14084,non functional
55875,non functional
17299,non functional
1793,functional
70943,functional
65720,non functional
49165,functional
18879,functional
3574,non functional
56735,non functional
45481,functional
51772,non functional
74095,functional needs repair
54000,non functional
34834,functional
50175,functional
35733,non functional
6808,non functional
27311,functional
73303,non functional
70335,functional
2691,functional
12582,non functional
49536,non functional
23715,non functional
45445,functional
52609,functional needs repair
35087,functional
42767,functional
24373,non functional
32895,non functional
9328,non functional
23275,functional
20054,functional
8378,functional
47432,functional
49863,functional needs repair
57828,non functional
31169,functional needs repair
38382,functional
31205,functional
23528,non functional
26507,non functional
67091,non functional
47734,functional
927,functional
48521,functional
16963,non functional
48233,non functional
58989,non functional
2399,non functional
23530,non functional
46271,functional
71726,non functional
23526,functional
49861,non functional
22619,functional
41264,non functional
20623,functional
35694,functional
68210,non functional
13446,functional
11321,functional
56312,functional needs repair
19533,non functional
7275,functional
48614,non functional
65873,functional needs repair
9008,non functional
36817,functional
25767,functional
38460,functional
16756,non functional
13310,functional
36514,functional
57548,functional
2809,non functional
70632,non functional
17260,functional needs repair
27950,functional
40629,non functional
64155,functional
50640,non functional
67355,non functional
32132,non functional
70868,functional
45823,non functional
19985,non functional
61834,functional
54171,functional
62763,non functional
42408,functional
13151,functional
28311,functional needs repair
57775,functional
37603,non functional
56357,functional
37845,non functional
57177,non functional
12821,functional
8193,non functional
49031,functional
14011,functional
33708,functional
68898,non functional
37198,non functional
11151,non functional
22264,functional
49694,non functional
47318,functional
46108,functional
28297,non functional
36340,non functional
26987,non functional
5766,functional
25979,non functional
73021,functional
11908,functional
47496,functional
61777,non functional
47591,functional
8968,functional
45656,non functional
39630,functional
2786,functional
958,functional needs repair
55843,non functional
52074,non functional
23422,functional
55802,functional
61634,functional
1625,non functional
37398,functional
51011,functional
49595,functional
22486,functional
22916,non functional
45204,functional
74223,functional
35533,non functional
30595,non functional
47319,non functional
32555,non functional
9520,functional
53253,non functional
36436,functional
15036,functional needs repair
23175,functional
41998,non functional
19345,functional
1198,functional needs repair
39848,functional
39278,functional
39844,functional
17332,non functional
51287,functional
49514,non functional
64288,functional needs repair
41782,non functional
54572,functional
68079,functional
68017,functional
66705,non functional
5274,functional
58230,functional needs repair
51010,functional
46242,functional
1917,functional
9361,functional needs repair
33043,functional
56633,functional
57518,functional needs repair
51128,non functional
4388,non functional
62267,functional
72473,non functional
70957,functional needs repair
35399,functional
33236,functional
73183,functional
52939,functional
66929,non functional
54326,functional
16343,functional
33013,non functional
60384,non functional
41074,functional
71997,functional
35190,functional
3425,functional
4335,functional needs repair
7399,non functional
46431,non functional
40845,functional
27347,functional
10981,functional
36447,non functional
67485,functional
11220,functional
45857,functional needs repair
21806,non functional
8771,functional
45535,functional
8671,non functional
2252,non functional
58078,functional
61068,functional
69204,functional
28326,functional needs repair
46930,functional
52104,non functional
31732,functional
21584,functional
17045,functional
14404,functional
34699,functional
39930,non functional
38744,functional needs repair
4339,functional needs repair
54735,functional
51916,functional
58114,non functional
28339,non functional
52048,non functional
66497,functional
18353,functional
16701,functional
59499,non functional
66042,non functional
43965,functional
48361,functional
70766,functional needs repair
9510,non functional
28586,functional
28521,functional needs repair
18050,non functional
73151,non functional
45011,functional
64380,non functional
66896,functional
40184,functional
67207,non functional
70178,functional
54063,non functional
39252,non functional
53773,functional
47931,functional
44168,functional
66540,functional
54089,functional
29244,functional
27525,non functional
58991,functional
18087,functional
67803,functional needs repair
48006,functional
11788,functional
16100,non functional
16382,functional
21208,non functional
8637,functional needs repair
67008,non functional
67914,functional
7041,functional
43181,non functional
26191,non functional
14766,non functional
49812,functional
12705,functional
25422,non functional
9399,functional
4239,non functional
49442,non functional
32,non functional
11443,functional
15492,non functional
63498,functional
12708,non functional
19483,functional
31204,non functional
33445,non functional
40820,functional needs repair
10279,non functional
46718,functional
39000,non functional
45897,non functional
62154,non functional
50034,functional
11853,non functional
40426,functional needs repair
41168,functional
58978,functional needs repair
31363,functional
32736,functional
29058,functional
23824,functional
61885,non functional
59187,non functional
73243,non functional
62915,non functional
1784,non functional
65951,non functional
20661,functional
55504,non functional
66975,non functional
72057,non functional
49331,functional
52682,functional
37859,functional
10460,functional
12407,non functional
69993,functional
13012,non functional
70896,functional
13264,functional
51824,non functional
60216,non functional
57481,non functional
3996,functional needs repair
24854,functional
43420,non functional
70468,functional needs repair
38305,non functional
57179,functional
70388,functional
67589,functional
69974,functional
8854,functional
71663,non functional
69272,non functional
49119,functional
15638,functional
9086,functional
56422,functional
39106,functional
4515,functional
48594,functional needs repair
63779,non functional
60740,functional
61242,non functional
65001,functional
2601,functional
52456,functional needs repair
21873,non functional
25505,functional needs repair
21890,functional
52336,functional
57756,functional
45465,functional needs repair
4989,functional
51585,functional
50533,non functional
54866,non functional
23793,functional
50135,functional
26549,non functional
66920,non functional
35517,non functional
390,non functional
13645,functional
39327,functional
58900,non functional
2100,non functional
31521,non functional
277,functional
33937,non functional
42545,non functional
7614,functional
46861,non functional
35278,non functional
71773,functional
52392,functional
47229,functional
10716,non functional
13923,functional
42206,functional
965,functional
66646,functional
17301,non functional
21533,non functional
37797,functional
19241,non functional
15296,functional
41472,functional
73859,non functional
20153,functional
71684,non functional
8321,non functional
68979,non functional
48850,functional
64251,functional
3583,functional
33326,functional
8500,functional
67047,functional needs repair
24896,functional
39527,functional
3089,non functional
66477,functional
24107,functional
7823,non functional
32016,functional
35048,functional
70580,functional
47503,functional
37357,functional
1195,non functional
52309,functional
19655,functional
39455,non functional
52757,non functional
62729,non functional
24324,functional
51298,non functional
17127,functional
28152,non functional
14259,functional
47461,non functional
65878,functional
58913,functional
70035,non functional
37446,non functional
30337,non functional
57584,functional
67193,functional
62103,functional
22896,non functional
5934,non functional
61722,functional needs repair
9299,functional
68558,functional
51165,functional
8657,functional
54952,functional
53160,functional
17393,non functional
33016,functional
25929,non functional
41102,non functional
11093,functional
52744,functional
23484,non functional
13139,functional
55439,functional needs repair
41539,functional
47692,functional
60165,non functional
64683,non functional
7089,functional needs repair
13516,functional
47720,functional
22588,non functional
28580,functional
9075,non functional
25066,non functional
28284,non functional
67568,functional
64823,functional needs repair
8243,non functional
2556,functional
58746,functional
18288,non functional
72822,functional
5178,non functional
66294,functional needs repair
14451,functional
48600,non functional
27513,functional
36889,functional
663,functional
10646,functional
35103,non functional
50804,functional
29635,non functional
47604,functional
49844,functional needs repair
69068,non functional
43074,non functional
71088,functional
40470,functional
21920,functional
51415,functional
15480,non functional
21881,functional
7780,functional
24908,functional
53915,functional
54560,non functional
15498,functional needs repair
20446,non functional
5886,functional
52883,functional
30892,functional
37432,functional
42574,functional
61505,non functional
44827,functional
5951,functional
48991,functional needs repair
22821,non functional
46478,functional
19831,non functional
49317,non functional
18472,non functional
58686,functional
47419,functional
44921,functional needs repair
55024,functional needs repair
28971,non functional
8108,functional
32182,functional
40513,functional needs repair
372,non functional
49297,functional
24407,non functional
44874,functional
25119,functional
3882,non functional
73443,functional needs repair
56056,functional
22035,functional
46318,functional
20802,functional
41941,non functional
12044,non functional
47262,non functional
19337,non functional
38688,functional needs repair
45341,non functional
55661,functional
32322,functional
41912,functional
26136,non functional
13480,non functional
62035,functional
50343,non functional
68537,non functional
52293,functional
17764,functional
67862,functional
38933,non functional
68514,non functional
65335,functional
27469,non functional
31290,functional
72594,non functional
2854,functional
19679,non functional
46470,functional needs repair
9931,non functional
39214,functional
3982,functional needs repair
29633,functional
50872,functional
31969,functional
51280,non functional
63438,non functional
52302,non functional
44486,functional
4641,functional needs repair
47724,functional
4393,non functional
54938,functional
66983,functional
55870,functional
62561,non functional
7975,functional
9418,functional needs repair
4929,functional
68311,non functional
15225,non functional
51854,functional
40247,non functional
37958,functional
19319,non functional
27495,functional
20111,functional
33231,functional
44772,functional
53237,functional needs repair
23279,functional
66738,non functional
73053,functional
31190,functional
54820,functional needs repair
54173,functional
40904,functional
43729,functional
63132,functional needs repair
65274,functional needs repair
2012,non functional
70647,non functional
6067,functional
47835,functional
14510,functional
34536,non functional
50168,functional
65018,functional
4960,functional
19291,functional
11480,functional
74179,functional
46276,functional
69469,functional
51844,non functional
13340,functional
34046,non functional
72429,non functional
60034,functional needs repair
36173,functional
66575,functional
33778,functional
52807,functional needs repair
37283,non functional
53688,functional
54777,non functional
10363,non functional
42685,functional needs repair
29334,functional needs repair
17320,functional
7060,functional
3905,functional
14607,functional needs repair
59091,non functional
44927,functional needs repair
59415,functional needs repair
59722,functional
49411,functional
40903,functional
64786,functional needs repair
36207,non functional
61178,non functional
55377,non functional
34300,functional
29483,functional
58576,non functional
37659,non functional
63873,functional needs repair
55723,functional
9950,functional needs repair
49680,non functional
30329,functional needs repair
64912,functional
21165,functional
42112,non functional
25108,functional needs repair
55021,functional
14319,non functional
23587,non functional
27217,non functional
62333,non functional
3284,non functional
38299,functional
35668,functional
10228,non functional
67801,non functional
63324,functional
33451,functional
46306,functional
37149,non functional
29770,non functional
14731,non functional
7963,non functional
55945,non functional
7645,functional
7244,non functional
40114,non functional
37615,functional
54151,functional
64712,functional
40499,non functional
71171,non functional
20712,functional
20187,non functional
12383,functional
33364,functional
9646,functional
12201,non functional
1782,functional
42747,functional
12125,functional
53260,non functional
55023,functional
7865,functional
66269,non functional
45049,functional
4988,functional
17387,non functional
41771,non functional
44806,functional
9157,functional
70881,functional
59951,functional
47581,non functional
14986,non functional
71499,non functional
32928,functional
11934,functional
54065,non functional
25479,functional
38302,functional
32973,functional
52140,functional
51060,functional needs repair
33106,functional
55127,non functional
8640,functional
43117,non functional
9966,functional needs repair
11183,non functional
72250,non functional
50586,functional
48093,non functional
37435,functional
9379,non functional
65657,non functional
34535,functional
26262,functional
14458,non functional
33972,non functional
40238,non functional
70610,non functional
47960,non functional
71481,functional
10946,functional needs repair
68239,functional
56314,non functional
20772,functional
41027,functional
57639,non functional
42841,non functional
8016,functional
38349,non functional
68114,non functional
53733,non functional
53513,functional
50420,functional
31043,non functional
11436,functional
66544,non functional
66297,functional
9975,functional
21663,non functional
66747,functional
8343,non functional
43675,functional
12325,functional
27609,non functional
70092,non functional
4092,non functional
60469,non functional
15869,non functional
31689,non functional
40197,functional
35039,functional needs repair
19866,functional
65864,non functional
54111,functional
65616,functional
24954,functional
55924,functional
48299,functional
51679,functional needs repair
7861,functional
74037,functional
2367,functional needs repair
60329,non functional
16467,non functional
36876,non functional
42906,functional
58855,non functional
48072,non functional
34861,functional needs repair
38446,functional
25076,functional
42010,functional
27880,functional
49961,functional needs repair
32989,functional
17483,functional
54815,non functional
16359,functional
54840,non functional
6252,functional
46589,non functional
65044,non functional
52749,functional
31792,non functional
72814,non functional
19523,non functional
32936,functional
28011,functional
49940,functional
21296,non functional
57692,functional
60900,non functional
69726,non functional
4707,functional needs repair
5501,non functional
37805,non functional
20466,non functional
915,non functional
15844,functional
60509,functional
22552,non functional
47386,functional
8521,functional
54730,non functional
58417,non functional
11731,functional
40490,non functional
17385,functional
63184,functional
45621,functional
42679,non functional
64602,functional needs repair
33317,non functional
38658,functional
64299,non functional
36030,functional
18940,non functional
45669,non functional
19668,functional
44209,functional
73269,functional
72767,functional
68471,non functional
907,functional needs repair
57724,functional needs repair
19492,non functional
18247,functional
61793,non functional
68182,functional
69769,functional
1580,functional
9327,non functional
18330,non functional
9250,non functional
29932,functional
22830,non functional
58200,non functional
30920,functional
9138,non functional
50234,functional
54691,non functional
16393,functional
56549,non functional
9832,functional
31881,non functional
12886,non functional
58897,non functional
830,functional
15950,functional
26265,non functional
46220,functional
22347,functional needs repair
2860,functional
19021,functional
3484,functional
30298,functional
39782,non functional
74005,functional needs repair
5674,non functional
9381,non functional
3895,functional needs repair
1673,functional
29551,functional needs repair
41475,non functional
67870,non functional
2791,non functional
42255,non functional
67164,non functional
12440,functional needs repair
13193,non functional
60880,non functional
71008,functional
67514,functional
34910,functional
383,functional
23977,functional
70543,non functional
2906,non functional
33810,functional
10021,functional
46730,non functional
1663,functional
2408,non functional
72505,functional
65019,functional
42313,functional
340,non functional
50285,non functional
3409,functional
26378,non functional
47552,functional
32262,non functional
58637,functional needs repair
34827,functional
63294,non functional
44867,functional needs repair
26751,functional
66574,functional needs repair
39354,functional needs repair
21479,functional
57899,non functional
60079,non functional
62070,functional
20628,functional needs repair
11344,non functional
62122,functional needs repair
51867,functional
51667,non functional
16857,non functional
27022,non functional
10438,non functional
57755,functional
22384,functional
3380,functional
41843,non functional
35208,functional
37152,non functional
47925,functional
43946,functional
2932,non functional
11829,functional
59013,functional needs repair
48338,non functional
71276,non functional
62998,functional needs repair
6708,non functional
9969,functional
5567,non functional
61598,non functional
20745,functional needs repair
72485,non functional
53890,non functional
62984,functional
56024,functional
64958,functional
36386,functional
12970,functional
63672,functional
1545,non functional
68416,functional
53929,functional needs repair
59291,functional
20931,functional
18781,functional needs repair
15430,functional
54042,non functional
56896,non functional
2579,functional
65982,non functional
8486,functional
15871,non functional
36433,functional
65239,non functional
42513,functional needs repair
63248,functional
2959,non functional
64833,functional
54346,non functional
12284,non functional
18056,non functional
9415,functional
10574,non functional
67761,non functional
2413,functional
60358,non functional
72803,functional
71644,functional
43929,functional
23370,non functional
38121,functional
71352,functional
26630,functional
72503,functional
36667,non functional
13838,functional
73762,non functional
56917,non functional
64901,functional
11878,non functional
11761,functional
22410,functional
29102,functional
36539,non functional
9758,functional
28981,non functional
56273,non functional
35854,non functional
38840,functional
32235,non functional
36097,functional
54661,non functional
61700,functional
71556,functional
9296,non functional
26823,functional
45401,functional needs repair
862,functional needs repair
12857,non functional
60984,functional
68476,functional needs repair
18299,non functional
48846,functional
6446,functional
63522,functional
66298,functional needs repair
39348,functional
25325,functional
38166,non functional
10753,non functional
6496,functional needs repair
66416,functional
47968,functional
30436,non functional
53608,functional
66036,functional needs repair
46595,non functional
18890,non functional
1978,non functional
10656,functional
69297,non functional
43482,non functional
43158,non functional
18733,functional
27893,functional
72342,functional
37520,functional
11453,non functional
39911,non functional
51620,functional
18133,functional
4572,non functional
55691,non functional
42966,non functional
66569,functional
7200,functional needs repair
53136,functional needs repair
25723,non functional
66123,functional
7672,functional
37943,functional
2142,functional
66405,functional
13101,non functional
73963,non functional
26444,non functional
19007,functional needs repair
71761,functional
1467,functional needs repair
35518,functional
32922,non functional
43852,functional
29438,non functional
56706,functional
39407,functional
58835,functional
43397,non functional
9994,non functional
7622,non functional
34194,functional needs repair
13045,non functional
32959,functional needs repair
50876,functional
31094,functional
37473,functional
61430,functional
47922,non functional
52355,non functional
65517,functional
42861,functional needs repair
59615,non functional
28406,functional
3716,functional
219,functional
2079,non functional
3612,functional
50670,functional
33118,functional needs repair
25722,functional
56582,non functional
7760,functional
39295,non functional
68787,functional
64264,non functional
35160,non functional
49452,non functional
53668,functional
67380,functional
45974,functional
11062,functional needs repair
27946,functional needs repair
50414,functional
38773,non functional
39624,non functional
72477,non functional
61146,functional
22496,functional
39554,non functional
23463,functional
26384,functional
42071,non functional
38972,non functional
44617,functional needs repair
32282,functional
8586,non functional
36903,functional
55556,functional
21436,functional
17030,functional
51806,non functional
44903,non functional
1957,non functional
20102,functional
39391,non functional
10871,functional
67815,functional
19183,non functional
17711,functional
59743,functional
11844,functional needs repair
40062,non functional
40682,non functional
71690,functional
22833,functional
16908,functional
43496,functional needs repair
62050,non functional
65634,non functional
6309,non functional
38784,functional
38329,non functional
69029,functional
25515,functional
30870,functional needs repair
34228,functional needs repair
42698,functional
31674,functional needs repair
2848,functional
52616,non functional
28760,functional
1188,functional
13957,functional needs repair
20847,functional
39895,functional
44133,functional
47704,non functional
68173,non functional
40526,non functional
26285,functional
67502,functional needs repair
57809,functional needs repair
3915,functional
69110,non functional
21675,functional
16738,functional
13627,functional
13404,functional
16649,non functional
8572,functional
71169,functional
71519,functional
72287,functional
19168,non functional
25981,non functional
33996,non functional
69749,non functional
53037,functional needs repair
49611,functional
52353,non functional
71599,non functional
29631,functional
54016,functional
71623,functional needs repair
67739,non functional
30275,functional needs repair
29073,functional
59974,non functional
47612,functional
15654,functional
12002,functional
10489,non functional
49293,functional
23467,functional
6668,non functional
6876,non functional
11289,functional
30283,functional
55091,functional
26166,non functional
3449,functional
7498,non functional
62730,functional
68654,non functional
5300,non functional
22742,functional
2653,functional
71210,functional
24301,non functional
51174,functional needs repair
57324,functional
47760,functional
34478,functional
44012,non functional
50314,non functional
24528,functional needs repair
57041,non functional
6407,functional
42635,non functional
73702,functional
67087,functional
7398,functional
20430,functional
60819,non functional
59586,functional needs repair
49192,non functional
39902,non functional
52301,functional needs repair
50482,functional
36023,non functional
42509,non functional
42398,non functional
56132,functional
37018,non functional
33205,functional needs repair
57405,non functional
66229,non functional
22953,functional needs repair
67348,functional
10496,functional
49208,non functional
29525,non functional
51648,functional needs repair
49307,non functional
6408,functional
53899,functional
46623,non functional
12537,functional
1365,functional
54115,functional
52656,functional needs repair
40498,non functional
48970,functional
56235,functional
36070,non functional
63964,functional
32271,non functional
15011,non functional
38607,functional
39836,non functional
65630,functional
58295,non functional
4210,non functional
3161,functional
21846,non functional
28509,functional
20933,non functional
20195,non functional
528,non functional
55726,functional
39291,non functional
39436,functional
29216,functional
12682,non functional
48580,non functional
22504,functional
54078,functional
18687,non functional
41128,functional
73213,non functional
52967,functional
73043,functional
23440,non functional
51098,functional
37286,functional
3953,non functional
70347,non functional
61706,functional needs repair
45392,functional
12844,non functional
8890,functional needs repair
49091,functional
44085,non functional
19625,functional
44799,functional
36158,functional needs repair
36397,functional
13057,non functional
5874,functional
9067,functional
15956,functional
3693,functional
65220,non functional
31365,functional
60072,functional
45524,functional
536,functional
21099,functional
45506,non functional
39120,functional
66657,non functional
20094,functional
20309,functional
49113,functional
44016,functional
7210,non functional
34555,functional needs repair
16088,non functional
25292,non functional
60748,non functional
27452,functional
59367,functional needs repair
59662,functional needs repair
63833,functional
63706,functional
40887,functional
3501,functional
20532,non functional
1386,functional
34149,functional
43398,functional
49223,non functional
58176,non functional
57623,non functional
12860,functional
30913,non functional
45960,functional
34432,functional needs repair
17486,functional
65669,non functional
37837,functional needs repair
73292,functional needs repair
11651,functional
29408,functional
37866,non functional
69690,functional
53995,functional needs repair
53366,functional
39328,functional
2320,functional
67731,functional
57014,non functional
62940,functional
50725,non functional
2855,functional
25922,non functional
19440,functional
31206,functional
2349,non functional
57290,non functional
9508,functional needs repair
66849,non functional
62431,non functional
23245,functional
21360,non functional
44870,functional
64287,functional
44968,non functional
61846,functional
49580,functional
15928,functional needs repair
25900,functional needs repair
31819,functional
48103,functional
49852,functional
17098,functional
1767,functional
33791,functional
60357,non functional
27287,functional needs repair
50174,functional needs repair
60161,functional needs repair
10484,non functional
33521,non functional
56320,functional
33643,non functional
22899,non functional
63343,non functional
29869,non functional
41463,non functional
23539,non functional
2230,functional needs repair
26037,functional
375,non functional
39654,non functional
53096,non functional
60168,functional needs repair
16990,functional needs repair
21007,functional
14315,non functional
2177,non functional
49269,functional
4671,functional
44176,functional
40998,non functional
7333,functional needs repair
64091,functional
68831,non functional
42058,functional needs repair
7902,non functional
65022,functional
28086,functional
45360,functional
45083,functional needs repair
32905,functional
39259,functional
38013,functional
38895,functional needs repair
35123,functional needs repair
7111,non functional
35613,non functional
49983,non functional
7539,non functional
70967,functional
37779,non functional
17732,non functional
40619,non functional
13128,functional needs repair
62321,functional needs repair
41884,functional needs repair
22763,functional needs repair
56616,functional
48446,non functional
59810,non functional
15364,functional
28596,functional
16194,functional
63304,functional
18910,non functional
60481,functional needs repair
42567,functional
44374,functional
1807,non functional
51223,functional
15702,functional needs repair
11806,functional
54631,functional
27402,non functional
3372,functional
64730,non functional
17064,functional
26829,functional
9453,functional
67241,functional needs repair
73217,functional
66403,non functional
48472,non functional
64553,non functional
24516,functional
20160,functional needs repair
6966,non functional
65057,functional needs repair
17269,non functional
11662,non functional
27280,functional
39968,functional
33060,functional
50189,non functional
8863,functional
18527,functional
49700,functional
71248,non functional
52907,functional
7891,non functional
50648,non functional
51640,non functional
56160,functional
61205,functional needs repair
37237,functional needs repair
39476,non functional
12645,non functional
65423,non functional
59104,non functional
12613,functional
20577,non functional
32896,functional
22800,functional
15436,non functional
28147,functional needs repair
62337,functional
46824,functional needs repair
37508,non functional
55768,functional
60117,functional
59651,functional
40212,functional
73448,functional
51073,functional
5001,non functional
33581,functional
71443,functional
52469,functional
56512,non functional
36028,functional
22096,functional
48869,functional
2988,functional
18857,non functional
5138,non functional
13512,non functional
20209,non functional
48604,non functional
66879,non functional
40331,non functional
49860,functional needs repair
43322,non functional
13054,functional
51553,functional needs repair
10459,non functional
58533,non functional
31297,functional
63877,functional
42620,non functional
45603,functional needs repair
5494,non functional
22161,functional
3807,non functional
9865,non functional
23557,functional needs repair
48471,functional
13087,functional
67705,non functional
31275,functional
66376,functional
29811,functional needs repair
47938,functional
60613,functional
13300,non functional
42764,functional needs repair
62481,functional
5483,functional
72602,functional
72209,non functional
60017,non functional
